PO Line ID,Invoice Posting Date,IR Effective Quantity,IR Amount USD
"4583081133-33",2024-07-30 00:00:00.000,4.00,66.00
"4583081133-34",2024-06-18 00:00:00.000,1.00,206.25
"4583081133-35",2024-06-19 00:00:00.000,2.00,27406.50
"4583081133-35",2024-07-30 00:00:00.000,2.00,27406.50
"4583081133-36",2024-06-19 00:00:00.000,4.00,5049.00
"4583081133-37",2024-06-19 00:00:00.000,1.00,1831.50
"4583081133-38",2024-06-19 00:00:00.000,1.00,16.50
"4583081133-39",2024-06-19 00:00:00.000,1.00,1.65
"4583081133-4",2024-06-19 00:00:00.000,3.00,1980.00
"4583081133-40",2024-06-19 00:00:00.000,1.00,874.50
"4583081133-41",2024-06-19 00:00:00.000,5.00,247.50
"4583081133-42",2024-07-30 00:00:00.000,7.00,20081.25
"4583081133-43",2024-07-30 00:00:00.000,12.00,25839.00
"4583081133-44",2024-07-30 00:00:00.000,6.00,23328.00
"4583081133-45",2024-07-30 00:00:00.000,9.00,14553.00
"4583081133-46",2024-07-30 00:00:00.000,2.00,49.50
"4583081133-47",2024-06-19 00:00:00.000,2.00,3217.50
"4583081133-47",2024-07-30 00:00:00.000,21.00,33783.75
"4583081133-48",2024-06-19 00:00:00.000,5.00,123.75
"4583081133-49",2024-07-30 00:00:00.000,4.00,1749.00
"4583081133-5",2024-06-19 00:00:00.000,3.00,4009.50
"4583081133-50",2024-07-30 00:00:00.000,4.00,2442.00
"4583081133-6",2024-07-30 00:00:00.000,5.00,4413.75
"4583081133-7",2024-06-19 00:00:00.000,5.00,0.40
"4583081133-8",2024-06-19 00:00:00.000,5.00,165.00
"4583081133-9",2024-06-19 00:00:00.000,1.00,66.00
"4583081134-1",2024-07-26 00:00:00.000,2.00,1552.00
"4583081272-17",2024-04-30 00:00:00.000,6.00,500.28
"4583081864-1",2024-04-23 00:00:00.000,2.00,6110.58
"4583082161-1",2024-05-28 00:00:00.000,2.00,105.76
"4583082352-1",2024-07-02 00:00:00.000,1.00,440.01
"4583082352-1",2024-10-02 00:00:00.000,1.00,440.01
"4583082622-1",2024-04-30 00:00:00.000,2.00,2279.88
"4583082622-6",2024-05-13 00:00:00.000,21.00,120.12
"4583084588-1",2024-04-22 00:00:00.000,1.00,0.00
"4583084604-4",2024-06-26 00:00:00.000,6.00,468.00
"4583084666-4",2024-07-12 00:00:00.000,2.00,1134.00
"4583084666-5",2024-07-12 00:00:00.000,2.00,1582.00
"4583084666-6",2024-07-12 00:00:00.000,2.00,940.00
"4583084666-7",2024-07-12 00:00:00.000,2.00,840.00
"4583084720-1",2024-05-07 00:00:00.000,320.00,105.60
"4583084720-2",2024-05-17 00:00:00.000,320.00,1718.40
"4583085573-1",2024-05-13 00:00:00.000,5.00,5.15
"4583085573-2",2024-05-13 00:00:00.000,5.00,5.15
"4583086904-1",2024-05-04 00:00:00.000,1.00,0.01
"4583087824-1",2024-05-28 00:00:00.000,1.00,2133.70
"4583087825-1",2024-05-31 00:00:00.000,1.00,2040.00
"4583087960-3",2024-05-13 00:00:00.000,1.00,1077.60
"4583087969-2",2024-06-13 00:00:00.000,3.00,1224.00
"4583087969-2",2024-12-25 00:00:00.000,1.00,408.00
"4583088034-4",2024-06-04 00:00:00.000,1.00,3175.18
"4583088038-6",2024-05-08 00:00:00.000,1.00,6163.79
"4583088087-5",2024-05-16 00:00:00.000,1.00,3321.08
"4583088228-4",2024-11-21 00:00:00.000,1.00,19689.04
"4583089096-3",2024-05-09 00:00:00.000,10.00,29.40
"4583093466-1",2024-06-18 00:00:00.000,3.00,57246.75
"4583093477-1",2024-09-26 00:00:00.000,1.00,1058.50
"4583093477-2",2024-09-26 00:00:00.000,1.00,3864.25
"4583094620-1",2024-05-09 00:00:00.000,32.00,72.64
"4583094620-2",2024-05-09 00:00:00.000,25.00,143.00
"4583094620-3",2024-05-16 00:00:00.000,18.00,2183.58
"4583094620-3",2024-05-26 00:00:00.000,12.00,1455.72
"4583094620-4",2024-07-02 00:00:00.000,120.00,366.00
"4583095739-1",2025-04-23 00:00:00.000,2.00,2252.64
"4583096564-1",2024-08-12 00:00:00.000,15.00,21.30
"4583096565-5",2024-09-18 00:00:00.000,4.00,485.24
"4583096565-8",2024-05-09 00:00:00.000,1296.00,51.84
"4583096565-9",2024-05-09 00:00:00.000,1296.00,25.92
"4583096566-1",2024-05-09 00:00:00.000,10.00,21.20
"4583096566-2",2024-07-06 00:00:00.000,1.00,921.35
"4583096566-3",2024-05-09 00:00:00.000,2.00,29.88
"4583096566-4",2024-05-09 00:00:00.000,20.00,25.20
"4583096789-1",2024-06-18 00:00:00.000,1.00,594.00
"4583098881-1",2024-08-19 00:00:00.000,2.00,2874.34
"4583098881-2",2024-09-26 00:00:00.000,2.00,2874.34
"4583098887-5",2024-06-06 00:00:00.000,1.00,434.06
"4583098887-6",2024-06-06 00:00:00.000,1.00,434.06
"4583098908-6",2024-07-31 00:00:00.000,1.00,5355.61
"4583098929-16",2024-05-20 00:00:00.000,1.00,210.01
"4583098929-17",2024-05-20 00:00:00.000,20.00,912.00
"4583098929-18",2025-02-11 00:00:00.000,1.00,330.01
"4583098929-19",2025-02-11 00:00:00.000,4.00,1320.04
"4583098929-19",2025-03-05 00:00:00.000,4.00,1320.04
"4583098929-20",2024-05-20 00:00:00.000,2.00,91.20
"4583098929-23",2024-05-06 00:00:00.000,3.00,1037.34
"4583098929-24",2024-05-06 00:00:00.000,3.00,411.21
"4583098930-2",2024-11-15 00:00:00.000,9.00,2970.09
"4583098930-2",2025-02-11 00:00:00.000,1.00,330.01
"4583098930-3",2025-02-11 00:00:00.000,2.00,660.02
"4583098931-3",2024-11-21 00:00:00.000,1.00,1302.48
"4583098931-4",2024-11-21 00:00:00.000,2.00,2604.96
"4583098950-1",2024-05-31 00:00:00.000,1.00,210.01
"4583098950-2",2024-11-11 00:00:00.000,1.00,1302.48
"4583098961-1",2024-06-22 00:00:00.000,1.00,568.83
"4583098961-2",2024-07-18 00:00:00.000,1.00,568.83
"4583098963-2",2024-06-12 00:00:00.000,5.00,375.00
"4583098963-3",2024-12-18 00:00:00.000,5.00,375.00
"4583098963-4",2024-12-18 00:00:00.000,6.00,390.00
"4583098964-1",2024-12-18 00:00:00.000,1.00,65.00
"4583098965-1",2024-12-04 00:00:00.000,1.00,65.00
"4583098966-1",2024-06-11 00:00:00.000,2.00,150.00
"4583098966-2",2024-12-04 00:00:00.000,3.00,195.00
"4583099140-5",2024-11-13 00:00:00.000,6.00,5708.40
"4583099140-6",2024-09-27 00:00:00.000,6.00,3197.88
"4583099140-7",2024-07-12 00:00:00.000,2.00,868.24
"4583099140-8",2024-09-27 00:00:00.000,3.00,1128.54
"4583099151-7",2024-06-03 00:00:00.000,1.00,1226.87
"4583099151-7",2024-08-19 00:00:00.000,2.00,2453.74
"4583099151-8",2025-05-07 00:00:00.000,3.00,20281.35
"4583099151-9",2024-07-22 00:00:00.000,4.00,11272.00
"4583099178-16",2024-06-09 00:00:00.000,4.00,5716.36
"4583099178-17",2024-05-28 00:00:00.000,1.00,378.01
"4583099178-17",2025-02-11 00:00:00.000,9.00,3402.09
"4583099178-18",2024-05-28 00:00:00.000,2.00,6996.34
"4583099178-19",2024-05-20 00:00:00.000,3.00,465.15
"4583099178-20",2024-08-22 00:00:00.000,1.00,2166.35
"4583099178-20",2024-10-17 00:00:00.000,1.00,2166.35
"4583099178-21",2024-05-20 00:00:00.000,8.00,1920.16
"4583099178-22",2024-05-16 00:00:00.000,10.00,3430.20
"4583099178-23",2024-08-09 00:00:00.000,1.00,10326.45
"4583099178-24",2024-07-10 00:00:00.000,2.00,3407.54
"4583099178-25",2024-07-10 00:00:00.000,6.00,14123.70
"4583099178-26",2024-07-03 00:00:00.000,1.00,1542.98
"4583099178-26",2024-07-24 00:00:00.000,3.00,4628.94
"4583099178-27",2024-06-09 00:00:00.000,2.00,7638.00
"4583099178-27",2024-06-20 00:00:00.000,1.00,3819.00
"4583099794-1",2024-05-16 00:00:00.000,2.00,126.98
"4583099851-1",2024-09-13 00:00:00.000,2.00,9135.00
"4583100139-1",2024-05-16 00:00:00.000,10.00,236.60
"4583100139-10",2024-05-16 00:00:00.000,40.00,7.20
"4583100139-11",2024-05-20 00:00:00.000,2.00,71.54
"4583100139-11",2024-05-28 00:00:00.000,8.00,286.16
"4583100139-12",2024-05-16 00:00:00.000,50.00,40.00
"4583100139-13",2024-05-16 00:00:00.000,10.00,59.70
"4583100139-2",2024-05-16 00:00:00.000,8.00,3059.04
"4583100139-2",2024-05-28 00:00:00.000,2.00,764.76
"4583100139-3",2024-05-16 00:00:00.000,15.00,510.60
"4583102991-1",2025-01-14 00:00:00.000,1.00,7197.09
"4583107423-1",2024-05-16 00:00:00.000,10.00,10.30
"4583107423-2",2024-05-16 00:00:00.000,5.00,5.15
"4583107423-3",2024-05-16 00:00:00.000,5.00,5.15
"4583107839-2",2024-06-01 00:00:00.000,5.00,1503.10
"4583112784-1",2024-06-26 00:00:00.000,1.00,3980.38
"4583112784-1",2024-10-01 00:00:00.000,3.00,11941.14
"4583112785-1",2024-06-25 00:00:00.000,1.00,11614.02
"4583112790-2",2024-05-16 00:00:00.000,5.00,5515.10
"4583112790-3",2024-05-16 00:00:00.000,10.00,58.00
"4583114205-1",2024-11-21 00:00:00.000,3.00,672.78
"4583114898-1",2024-05-02 00:00:00.000,1.00,917.06
"4583115257-2",2024-05-16 00:00:00.000,1.00,25.61
"4583115257-2",2024-06-20 00:00:00.000,1.00,25.61
"4583115257-2",2024-09-24 00:00:00.000,1.00,25.61
"4583115632-21",2024-05-28 00:00:00.000,5.00,1300.20
"4583115632-21",2024-07-03 00:00:00.000,5.00,1300.20
"4583115632-22",2024-05-28 00:00:00.000,4.00,860.20
"4583115632-22",2024-07-03 00:00:00.000,6.00,1290.30
"4583116287-1",2024-05-20 00:00:00.000,1.00,4602.45
"4583116287-2",2024-05-20 00:00:00.000,1.00,5934.45
"4583116287-3",2024-05-20 00:00:00.000,1.00,5192.88
"4583116287-4",2024-05-20 00:00:00.000,1.00,10012.86
"4583116287-5",2024-05-20 00:00:00.000,1.00,2083.00
"4583116287-6",2024-05-20 00:00:00.000,1.00,2083.00
"4583116287-7",2024-05-20 00:00:00.000,1.00,2040.32
"4583116287-8",2024-05-20 00:00:00.000,1.00,285.35
"4583116556-17",2024-10-30 00:00:00.000,4.00,5164.64
"4583116556-18",2024-09-18 00:00:00.000,2.00,4447.76
"4583116556-19",2025-01-24 00:00:00.000,1.00,7197.09
"4583118564-1",2024-05-23 00:00:00.000,5.00,78.00
"4583120886-16",2025-01-08 00:00:00.000,7.00,8650.53
"4583120886-16",2025-11-19 00:00:00.000,3.00,3707.37
"4583120886-17",2024-05-20 00:00:00.000,1.00,33.73
"4583120886-18",2024-05-16 00:00:00.000,4.00,50.72
"4583120886-18",2024-05-20 00:00:00.000,6.00,76.08
"4583120899-1",2024-08-09 00:00:00.000,2.00,810.00
"4583120900-2",2024-06-05 00:00:00.000,1.00,2409.00
"4583120900-3",2024-06-05 00:00:00.000,1.00,4017.75
"4583120901-1",2024-05-27 00:00:00.000,1.00,4339.50
"4583120994-1",2024-05-08 00:00:00.000,3.00,490269.15
"4583124459-1",2024-06-18 00:00:00.000,1.00,26615.94
"4583124459-2",2024-06-18 00:00:00.000,1.00,26615.94
"4583124459-3",2024-06-18 00:00:00.000,1.00,26615.94
"4583124506-16",2024-07-08 00:00:00.000,1.00,16.01
"4583124506-19",2024-07-10 00:00:00.000,1.00,2950.06
"4583124506-20",2024-07-08 00:00:00.000,1.00,230.57
"4583124506-21",2024-07-10 00:00:00.000,2.00,6390.10
"4583124506-22",2024-07-08 00:00:00.000,1.00,1974.99
"4583124506-23",2024-07-10 00:00:00.000,1.00,10267.72
"4583124506-24",2024-07-10 00:00:00.000,1.00,846.75
"4583124506-25",2024-07-08 00:00:00.000,1.00,124.60
"4583124506-26",2024-07-10 00:00:00.000,10.00,459.70
"4583124506-27",2024-08-22 00:00:00.000,6.00,1998.00
"4583124506-28",2024-05-20 00:00:00.000,12.00,1000.56
"4583124506-29",2024-05-20 00:00:00.000,12.00,1000.56
"4583124506-30",2024-05-20 00:00:00.000,1.00,320.00
"4583124506-31",2024-06-20 00:00:00.000,1.00,1659.00
"4583124506-32",2024-07-10 00:00:00.000,1.00,1104.56
"4583124506-32",2024-07-24 00:00:00.000,1.00,1104.56
"4583124506-33",2024-05-20 00:00:00.000,2.00,3153.64
"4583124506-34",2024-05-20 00:00:00.000,2.00,2585.76
"4583124506-35",2024-05-20 00:00:00.000,1.00,10.01
"4583124506-36",2024-06-10 00:00:00.000,1.00,56.00
"4583124506-38",2024-05-20 00:00:00.000,2.00,15.10
"4583124506-39",2024-05-20 00:00:00.000,2.00,11.98
"4583124506-40",2024-05-20 00:00:00.000,2.00,15.82
"4583124506-41",2024-05-20 00:00:00.000,2.00,18.40
"4583124506-42",2024-05-20 00:00:00.000,1.00,10.82
"4583124506-43",2024-05-20 00:00:00.000,2.00,36.22
"4583124506-44",2024-05-20 00:00:00.000,2.00,17.28
"4583124506-45",2024-05-20 00:00:00.000,5.00,11.05
"4583124506-46",2024-07-10 00:00:00.000,2.00,26.50
"4583124506-48",2024-05-20 00:00:00.000,4.00,331.28
"4583124506-49",2024-05-20 00:00:00.000,1.00,129.00
"4583124506-50",2024-05-20 00:00:00.000,4.00,115.96
"4583124506-51",2024-05-20 00:00:00.000,62.00,236.84
"4583124506-52",2024-05-20 00:00:00.000,4.00,52.20
"4583124506-53",2024-05-20 00:00:00.000,10.00,54.30
"4583124506-54",2024-05-20 00:00:00.000,20.00,183.00
"4583124506-55",2024-05-20 00:00:00.000,20.00,198.20
"4583124506-56",2024-05-20 00:00:00.000,25.00,149.75
"4583124506-58",2024-09-18 00:00:00.000,1.00,230.12
"4583124506-60",2024-05-20 00:00:00.000,5.00,6.85
"4583124506-61",2024-05-20 00:00:00.000,20.00,51.00
"4583124506-62",2024-05-20 00:00:00.000,25.00,15.50
"4583124506-64",2024-07-18 00:00:00.000,6.00,28.44
"4583124506-65",2024-05-20 00:00:00.000,100.00,31.00
"4583124507-2",2024-05-16 00:00:00.000,1.00,310.17
"4583124507-3",2024-05-16 00:00:00.000,2.00,336.90
"4583124507-3",2024-07-24 00:00:00.000,1.00,168.45
"4583124701-1",2024-05-23 00:00:00.000,1.00,110.44
"4583124788-6",2024-07-22 00:00:00.000,6.00,1735.32
"4583125276-1",2024-05-21 00:00:00.000,1.00,461.65
"4583125276-10",2024-05-21 00:00:00.000,5.00,5.15
"4583125276-11",2024-05-21 00:00:00.000,3.00,13.98
"4583125276-2",2024-11-01 00:00:00.000,2.00,471.24
"4583125276-3",2024-05-21 00:00:00.000,1.00,23.05
"4583125276-4",2024-05-21 00:00:00.000,2.00,29.86
"4583125276-5",2024-05-21 00:00:00.000,2.00,11.80
"4583125276-6",2024-05-21 00:00:00.000,6.00,26.16
"4583125276-7",2024-05-21 00:00:00.000,5.00,5.15
"4583125276-8",2024-05-21 00:00:00.000,5.00,5.15
"4583125276-9",2024-05-21 00:00:00.000,5.00,5.15
"4583125393-1",2024-05-08 00:00:00.000,25.00,2854.25
"4583125393-12",2024-05-08 00:00:00.000,100.00,227.00
"4583125393-13",2024-05-08 00:00:00.000,10.00,149.30
"4583125393-14",2024-05-08 00:00:00.000,50.00,286.00
"4583125393-15",2024-05-08 00:00:00.000,100.00,572.00
"4583125393-2",2024-05-28 00:00:00.000,25.00,3640.00
"4583125393-3",2024-05-08 00:00:00.000,10.00,330.30
"4583126697-4",2024-08-15 00:00:00.000,1.00,19.70
"4583126697-5",2024-06-14 00:00:00.000,1.00,112.00
"4583126697-6",2024-07-05 00:00:00.000,2.00,109.26
"4583126701-16",2024-07-03 00:00:00.000,1.00,81.49
"4583126701-17",2024-07-18 00:00:00.000,5.00,323.60
"4583126701-18",2024-05-16 00:00:00.000,2.00,50.20
"4583126701-21",2024-08-23 00:00:00.000,1.00,392.60
"4583126701-22",2024-05-20 00:00:00.000,2.00,384.68
"4583126701-23",2024-05-16 00:00:00.000,2.00,475.04
"4583126701-24",2024-07-10 00:00:00.000,2.00,361.58
"4583126701-25",2024-07-03 00:00:00.000,2.00,277.12
"4583126701-26",2024-10-18 00:00:00.000,1.00,5002.21
"4583126701-27",2024-10-17 00:00:00.000,2.00,1136.10
"4583126707-1",2024-07-10 00:00:00.000,8.00,78.48
"4583126707-2",2025-03-03 00:00:00.000,1.00,139.47
"4583126707-3",2024-07-10 00:00:00.000,2.00,602.48
"4583126708-2",2024-05-23 00:00:00.000,2.00,100.76
"4583126708-3",2024-07-19 00:00:00.000,2.00,100.76
"4583126982-16",2024-05-28 00:00:00.000,8.00,119.52
"4583129851-1",2024-05-16 00:00:00.000,2.00,23585.94
"4583129878-1",2024-08-13 00:00:00.000,1.00,409.36
"4583129879-1",2024-06-13 00:00:00.000,1.00,110.44
"4583129880-1",2024-05-10 00:00:00.000,1.00,899.56
"4583129881-1",2024-07-17 00:00:00.000,1.00,46.67
"4583129882-1",2024-09-05 00:00:00.000,4.00,330.44
"4583129882-1",2024-10-31 00:00:00.000,1.00,82.61
"4583129888-1",2025-03-14 00:00:00.000,1.00,153.87
"4583129889-1",2024-05-14 00:00:00.000,1.00,975.01
"4583129890-1",2024-07-02 00:00:00.000,5.00,2019.55
"4583129891-1",2024-08-02 00:00:00.000,1.00,118.80
"4583129956-6",2024-06-24 00:00:00.000,20.00,56.60
"4583130032-16",2024-05-20 00:00:00.000,1.00,117.84
"4583130032-17",2024-08-23 00:00:00.000,1.00,137.18
"4583130591-2",2024-05-07 00:00:00.000,20.00,2283.40
"4583134599-1",2024-05-26 00:00:00.000,6.00,1879.80
"4583135031-10",2024-06-20 00:00:00.000,2.00,1278.36
"4583135031-11",2024-05-26 00:00:00.000,100.00,255.00
"4583135031-12",2024-06-20 00:00:00.000,2.00,482.06
"4583135031-12",2024-07-02 00:00:00.000,1.00,241.03
"4583135031-13",2024-05-26 00:00:00.000,1.00,158.99
"4583135031-14",2024-05-26 00:00:00.000,1.00,51.18
"4583135031-15",2024-08-08 00:00:00.000,1.00,900.00
"4583135031-16",2024-05-26 00:00:00.000,10.00,4.50
"4583135031-2",2024-05-26 00:00:00.000,3.00,476.97
"4583135031-3",2024-08-08 00:00:00.000,1.00,4236.55
"4583135031-4",2024-08-08 00:00:00.000,1.00,1241.02
"4583135031-5",2024-05-26 00:00:00.000,1.00,781.98
"4583135031-6",2024-05-26 00:00:00.000,5.00,952.55
"4583135031-7",2024-05-26 00:00:00.000,4.00,93.96
"4583135031-7",2024-07-06 00:00:00.000,1.00,23.49
"4583135031-8",2024-05-26 00:00:00.000,1.00,781.98
"4583135031-9",2024-05-26 00:00:00.000,6.00,587.04
"4583135812-1",2024-07-30 00:00:00.000,20.00,6164.10
"4583135812-2",2024-07-30 00:00:00.000,100.00,1235.01
"4583135812-3",2024-07-30 00:00:00.000,500.00,3959.35
"4583135812-4",2024-07-30 00:00:00.000,360.00,15838.01
"4583135812-5",2024-07-30 00:00:00.000,600.00,48508.11
"4583135812-6",2024-07-30 00:00:00.000,500.00,9921.22
"4583135818-2",2024-05-26 00:00:00.000,2.00,81.34
"4583135834-1",2024-05-12 00:00:00.000,1.00,289.76
"4583135935-1",2024-10-04 00:00:00.000,2.00,696.14
"4583135958-10",2024-05-26 00:00:00.000,5.00,7.80
"4583135958-11",2024-05-26 00:00:00.000,8.00,57.60
"4583135958-12",2024-05-26 00:00:00.000,5.00,6.60
"4583135958-13",2024-05-26 00:00:00.000,20.00,2.40
"4583135958-14",2025-01-24 00:00:00.000,10.00,19.80
"4583135958-3",2024-05-26 00:00:00.000,100.00,26.00
"4583135958-4",2024-05-26 00:00:00.000,10.00,1.30
"4583135958-5",2024-05-26 00:00:00.000,86.00,22.36
"4583135958-6",2024-06-10 00:00:00.000,48.00,4.80
"4583135958-7",2024-05-26 00:00:00.000,1.00,35.47
"4583135958-8",2024-05-26 00:00:00.000,4.00,3.08
"4583135958-9",2024-05-26 00:00:00.000,5.00,12.85
"4583135965-1",2025-05-14 00:00:00.000,10.00,22.10
"4583136251-1",2024-05-15 00:00:00.000,1.00,24522.50
"4583136251-2",2024-05-15 00:00:00.000,1.00,24522.50
"4583136311-3",2024-05-21 00:00:00.000,2.00,91.20
"4583136664-1",2024-06-28 00:00:00.000,1.00,0.01
"4583136667-1",2024-06-28 00:00:00.000,1.00,0.01
"4583136672-1",2024-06-28 00:00:00.000,1.00,0.01
"4583137126-2",2024-07-02 00:00:00.000,4.00,4633.96
"4583138117-1",2024-06-28 00:00:00.000,1.00,8150.00
"4583138118-1",2024-07-31 00:00:00.000,1.00,9950.00
"4583138580-7",2024-08-20 00:00:00.000,2.00,121.86
"4583138582-16",2024-07-10 00:00:00.000,4.00,139.96
"4583138582-16",2024-07-24 00:00:00.000,6.00,209.94
"4583138600-1",2024-09-09 00:00:00.000,2.00,751.32
"4583138952-1",2024-05-23 00:00:00.000,8.00,4852.72
"4583141177-16",2024-06-20 00:00:00.000,2.00,4491.30
"4583141177-17",2024-06-20 00:00:00.000,4.00,2838.12
"4583141177-18",2024-09-06 00:00:00.000,4.00,643.60
"4583141250-16",2024-05-20 00:00:00.000,30.00,12.00
"4583141250-17",2024-05-20 00:00:00.000,3.00,2107.44
"4583141250-17",2024-06-10 00:00:00.000,1.00,702.48
"4583141250-17",2024-07-10 00:00:00.000,1.00,702.48
"4583141565-16",2024-06-09 00:00:00.000,2.00,3870.10
"4583141565-16",2024-07-10 00:00:00.000,1.00,1935.05
"4583143964-6",2024-06-14 00:00:00.000,3.00,1617.00
"4583143967-16",2024-07-10 00:00:00.000,1.00,1077.45
"4583143967-17",2024-05-20 00:00:00.000,1.00,410.03
"4583143967-17",2024-05-28 00:00:00.000,1.00,410.03
"4583143967-18",2024-08-09 00:00:00.000,10.00,102.40
"4583144095-16",2024-06-20 00:00:00.000,7.00,396.27
"4583144095-17",2024-06-20 00:00:00.000,11.00,622.71
"4583144095-20",2024-06-20 00:00:00.000,9.00,414.09
"4583144095-21",2024-08-28 00:00:00.000,1.00,46.01
"4583144096-1",2024-06-10 00:00:00.000,3.00,3224.58
"4583144197-1",2024-08-12 00:00:00.000,3.00,23067.00
"4583144197-10",2024-08-12 00:00:00.000,2.00,693.00
"4583144197-10",2024-09-09 00:00:00.000,3.00,1039.50
"4583144197-11",2024-07-24 00:00:00.000,3.00,2598.75
"4583144197-12",2024-08-12 00:00:00.000,10.00,10642.50
"4583144197-13",2024-07-24 00:00:00.000,2.00,0.40
"4583144197-14",2024-07-24 00:00:00.000,10.00,165.00
"4583144197-15",2024-07-24 00:00:00.000,10.00,66.00
"4583144197-16",2024-07-24 00:00:00.000,2.00,445.50
"4583144197-17",2024-09-13 00:00:00.000,3.00,4826.25
"4583144197-18",2024-09-09 00:00:00.000,3.00,965.25
"4583144197-2",2024-07-24 00:00:00.000,5.00,82.50
"4583144197-3",2024-07-24 00:00:00.000,2.00,29403.00
"4583144197-4",2024-07-24 00:00:00.000,3.00,74.25
"4583144197-5",2024-07-24 00:00:00.000,3.00,569.25
"4583144197-6",2024-07-24 00:00:00.000,1.00,206.25
"4583144197-7",2024-07-24 00:00:00.000,5.00,123.75
"4583144197-8",2024-07-24 00:00:00.000,5.00,123.75
"4583144197-9",2024-07-24 00:00:00.000,5.00,2640.00
"4583144198-1",2024-06-18 00:00:00.000,1.00,203.00
"4583144617-4",2024-08-02 00:00:00.000,2.00,1621.96
"4583145193-1",2024-05-26 00:00:00.000,1.00,139.93
"4583145193-2",2024-05-26 00:00:00.000,3.00,342.78
"4583145193-3",2024-05-26 00:00:00.000,3.00,372.66
"4583145193-4",2024-06-03 00:00:00.000,1.00,101.48
"4583145193-5",2024-06-20 00:00:00.000,1.00,329.16
"4583145324-12",2024-05-28 00:00:00.000,250.00,442.50
"4583145324-2",2024-05-28 00:00:00.000,8.00,508.56
"4583145324-8",2024-05-28 00:00:00.000,200.00,1144.00
"4583145324-9",2024-05-28 00:00:00.000,200.00,1132.00
"4583146773-4",2024-11-06 00:00:00.000,3.00,125.55
"4583146780-10",2024-11-20 00:00:00.000,10.00,272.70
"4583146780-11",2025-07-08 00:00:00.000,5.00,53.45
"4583146780-12",2025-02-12 00:00:00.000,5.00,244.70
"4583146780-13",2025-02-12 00:00:00.000,5.00,243.25
"4583146780-14",2024-10-04 00:00:00.000,5.00,242.80
"4583146780-15",2024-07-02 00:00:00.000,15.00,63.75
"4583146780-15",2024-09-13 00:00:00.000,35.00,148.75
"4583146780-16",2025-05-09 00:00:00.000,2.00,36.16
"4583146780-17",2024-07-02 00:00:00.000,4.00,66.88
"4583146780-18",2024-08-13 00:00:00.000,3.00,58.68
"4583146780-19",2024-07-02 00:00:00.000,20.00,11.40
"4583146780-20",2024-09-13 00:00:00.000,1.00,7.26
"4583146780-21",2024-09-13 00:00:00.000,3.00,2.43
"4583146780-8",2024-11-20 00:00:00.000,10.00,491.70
"4583146780-9",2024-10-11 00:00:00.000,5.00,93.30
"4583146780-9",2025-04-16 00:00:00.000,5.00,93.30
"4583146785-19",2024-06-09 00:00:00.000,15.00,481.95
"4583146785-20",2024-06-09 00:00:00.000,75.00,442.50
"4583146785-21",2024-06-09 00:00:00.000,20.00,733.80
"4583146785-22",2024-06-09 00:00:00.000,10.00,485.70
"4583146785-23",2024-06-09 00:00:00.000,20.00,353.40
"4583146785-24",2024-06-09 00:00:00.000,6.00,128.94
"4583146785-25",2024-06-09 00:00:00.000,9.00,214.20
"4583146785-25",2024-07-03 00:00:00.000,1.00,23.80
"4583146785-26",2024-06-09 00:00:00.000,4.00,191.84
"4583146785-27",2024-06-09 00:00:00.000,12.00,177.96
"4583146785-28",2024-06-09 00:00:00.000,10.00,404.80
"4583146785-29",2024-06-10 00:00:00.000,36.00,146.88
"4583146785-29",2024-08-22 00:00:00.000,12.00,48.96
"4583146785-30",2024-06-09 00:00:00.000,50.00,279.00
"4583146785-31",2024-06-09 00:00:00.000,4.00,111.88
"4583146785-32",2024-06-09 00:00:00.000,100.00,191.00
"4583146785-33",2024-06-10 00:00:00.000,11.00,24.53
"4583146785-33",2024-08-23 00:00:00.000,5.00,11.15
"4583146785-33",2024-08-28 00:00:00.000,30.00,66.90
"4583146785-34",2024-08-23 00:00:00.000,6480.00,129.60
"4583146785-35",2024-06-09 00:00:00.000,120.00,163.20
"4583146785-36",2024-06-09 00:00:00.000,3.00,97.59
"4583146785-37",2024-06-09 00:00:00.000,3.00,124.59
"4583146785-38",2024-12-12 00:00:00.000,1.00,27.95
"4583146785-38",2025-01-23 00:00:00.000,5.00,139.75
"4583146785-39",2024-06-09 00:00:00.000,2.00,95.92
"4583146785-40",2024-06-09 00:00:00.000,50.00,267.00
"4583146785-41",2024-06-09 00:00:00.000,15.00,433.65
"4583146785-42",2024-10-07 00:00:00.000,2.00,81.42
"4583146785-43",2024-06-09 00:00:00.000,15.00,98.40
"4583146785-44",2024-06-09 00:00:00.000,2.00,24.02
"4583146785-45",2024-06-09 00:00:00.000,50.00,150.00
"4583146785-46",2024-06-09 00:00:00.000,100.00,77.00
"4583146785-47",2024-06-09 00:00:00.000,50.00,97.50
"4583146785-48",2024-06-09 00:00:00.000,17.00,90.78
"4583146785-48",2024-06-10 00:00:00.000,9.00,48.06
"4583146785-48",2024-07-03 00:00:00.000,4.00,21.36
"4583146785-49",2024-06-09 00:00:00.000,6.00,163.92
"4583146785-50",2024-06-09 00:00:00.000,1.00,17.85
"4583146785-51",2024-06-10 00:00:00.000,3.00,21.03
"4583146785-52",2024-06-09 00:00:00.000,15.00,179.40
"4583146785-53",2024-08-23 00:00:00.000,1296.00,25.92
"4583146785-54",2024-06-09 00:00:00.000,10.00,30.00
