PO Line ID,Invoice Posting Date,IR Effective Quantity,IR Amount USD
"4581751616-25",2024-04-06 00:00:00.000,4.00,175.68
"4581751616-26",2022-12-12 00:00:00.000,2.00,224.66
"4581751616-27",2022-12-12 00:00:00.000,2.00,483.74
"4581751616-3",2022-12-12 00:00:00.000,250.00,812.50
"4581751616-4",2022-12-12 00:00:00.000,5.00,44.35
"4581751616-5",2022-12-12 00:00:00.000,1.00,381.57
"4581751616-5",2023-01-16 00:00:00.000,2.00,763.14
"4581751616-5",2023-03-03 00:00:00.000,3.00,1144.71
"4581751616-6",2022-12-12 00:00:00.000,6.00,2723.04
"4581751616-7",2022-12-14 00:00:00.000,1.00,2983.38
"4581751616-7",2023-02-18 00:00:00.000,2.00,5966.76
"4581751616-7",2023-03-15 00:00:00.000,3.00,8950.14
"4581751616-9",2024-08-14 00:00:00.000,50.00,55.00
"4581751618-1",2022-12-23 00:00:00.000,8.00,5968.00
"4581755059-1",2023-01-24 00:00:00.000,1.00,8041.00
"4581755060-1",2023-02-22 00:00:00.000,2.00,12480.00
"4581755317-1",2023-02-09 00:00:00.000,950.00,25479.00
"4581755317-2",2023-02-03 00:00:00.000,250.00,8080.00
"4581755317-2",2023-02-09 00:00:00.000,100.00,3232.00
"4581755317-3",2023-02-09 00:00:00.000,500.00,4735.00
"4581755327-1",2022-12-08 00:00:00.000,2.00,32.94
"4581755577-1",2022-12-02 00:00:00.000,1778.00,6827.52
"4581757952-1",2024-12-13 00:00:00.000,1.00,0.00
"4581757952-2",2024-12-13 00:00:00.000,2.00,0.00
"4581757952-3",2024-12-13 00:00:00.000,1.00,0.00
"4581757952-4",2024-12-13 00:00:00.000,1.00,0.00
"4581766817-1",2023-01-25 00:00:00.000,10.00,2891.40
"4581770073-1",2024-04-01 00:00:00.000,1.00,6100.27
"4581770082-1",2023-05-09 00:00:00.000,3.00,338.34
"4581770101-1",2023-01-15 00:00:00.000,6.00,151.20
"4581770101-2",2023-01-15 00:00:00.000,10.00,29.00
"4581770101-3",2023-01-15 00:00:00.000,20.00,22.80
"4581771943-1",2022-12-07 00:00:00.000,1.00,0.98
"4581771943-2",2022-12-07 00:00:00.000,1.00,0.01
"4581775352-1",2022-12-13 00:00:00.000,1.00,2678.71
"4581775352-2",2022-12-13 00:00:00.000,70.00,7601.30
"4581776258-1",2022-12-17 00:00:00.000,1.00,246.72
"4581776258-2",2023-05-22 00:00:00.000,12.00,13.32
"4581776258-3",2023-02-08 00:00:00.000,13.00,11.31
"4581776260-1",2023-06-10 00:00:00.000,1.00,55.69
"4581776260-10",2023-03-14 00:00:00.000,20.00,16.80
"4581776260-11",2023-05-08 00:00:00.000,2.00,443.32
"4581776260-12",2023-03-14 00:00:00.000,1.00,658.82
"4581776260-14",2023-03-14 00:00:00.000,3.00,394.26
"4581776260-15",2023-03-06 00:00:00.000,3.00,313.89
"4581776260-16",2023-02-01 00:00:00.000,3.00,233.31
"4581776260-17",2023-03-14 00:00:00.000,3.00,111.27
"4581776260-18",2023-03-14 00:00:00.000,10.00,151.10
"4581776260-19",2023-02-01 00:00:00.000,3.00,330.96
"4581776260-2",2023-05-26 00:00:00.000,1.00,450.98
"4581776260-20",2023-03-14 00:00:00.000,4.00,187.32
"4581776260-21",2023-03-14 00:00:00.000,1.00,40.58
"4581776260-22",2023-11-20 00:00:00.000,1.00,139.00
"4581776260-23",2023-01-21 00:00:00.000,2.00,30.00
"4581776260-24",2023-03-14 00:00:00.000,15.00,35.85
"4581776260-25",2023-03-14 00:00:00.000,3.00,1.17
"4581776260-26",2023-03-29 00:00:00.000,1.00,397.15
"4581776260-28",2023-03-14 00:00:00.000,1.00,223.01
"4581776260-29",2023-03-14 00:00:00.000,1.00,101.49
"4581776260-3",2023-03-06 00:00:00.000,1.00,212.32
"4581776260-30",2023-03-14 00:00:00.000,50.00,29.00
"4581776260-31",2024-05-16 00:00:00.000,4.00,453.40
"4581776260-33",2023-03-14 00:00:00.000,20.00,212.80
"4581776260-34",2023-03-14 00:00:00.000,34.00,55.42
"4581776260-35",2023-03-22 00:00:00.000,20.00,29.80
"4581776260-36",2023-03-14 00:00:00.000,20.00,39.00
"4581776260-37",2023-03-24 00:00:00.000,80.00,55.20
"4581776260-38",2023-02-11 00:00:00.000,37.00,235.32
"4581776260-39",2023-03-04 00:00:00.000,5.00,563.05
"4581776260-4",2023-03-14 00:00:00.000,1.00,497.38
"4581776260-40",2023-03-14 00:00:00.000,70.00,18.20
"4581776260-41",2023-03-14 00:00:00.000,50.00,23.50
"4581776260-42",2023-03-14 00:00:00.000,20.00,450.40
"4581776260-43",2023-04-03 00:00:00.000,5.00,279.80
"4581776260-44",2023-03-07 00:00:00.000,1.00,229.61
"4581776260-45",2023-03-14 00:00:00.000,35.00,13.65
"4581776260-47",2023-03-14 00:00:00.000,5.00,278.50
"4581776260-48",2023-02-18 00:00:00.000,50.00,22.00
"4581776260-5",2023-03-14 00:00:00.000,3.00,424.26
"4581776260-50",2023-03-14 00:00:00.000,20.00,4.20
"4581776260-52",2023-03-14 00:00:00.000,20.00,4.20
"4581776260-53",2023-03-14 00:00:00.000,3.00,38.04
"4581776260-54",2023-03-19 00:00:00.000,5.00,60.75
"4581776260-55",2023-02-01 00:00:00.000,15.00,42.75
"4581776260-59",2023-08-17 00:00:00.000,50.00,99.50
"4581776260-6",2023-03-14 00:00:00.000,3.00,425.85
"4581776260-60",2023-02-01 00:00:00.000,5.00,1.65
"4581776260-60",2023-03-14 00:00:00.000,30.00,9.90
"4581776260-61",2022-12-06 00:00:00.000,5.00,1.15
"4581776260-63",2023-03-14 00:00:00.000,20.00,1.40
"4581776260-64",2023-09-08 00:00:00.000,25.00,105.50
"4581776260-65",2023-03-29 00:00:00.000,3.00,1.74
"4581776260-66",2023-03-19 00:00:00.000,98.00,226.38
"4581776260-67",2023-03-14 00:00:00.000,14.00,12.32
"4581776260-68",2023-05-25 00:00:00.000,8.00,24.96
"4581776260-7",2023-04-03 00:00:00.000,3.00,414.99
"4581776260-8",2023-03-14 00:00:00.000,1.00,461.65
"4581776260-9",2023-03-14 00:00:00.000,50.00,20.50
"4581777094-1",2022-12-07 00:00:00.000,4.00,856.80
"4581777094-2",2022-12-07 00:00:00.000,21.00,8239.56
"4581777094-2",2023-03-04 00:00:00.000,5.00,162.97
"4581791231-1",2023-01-20 00:00:00.000,5.00,185.30
"4581791231-10",2023-05-26 00:00:00.000,100.00,100.00
"4581791231-13",2023-03-22 00:00:00.000,1968.00,196.80
"4581791231-16",2023-02-11 00:00:00.000,1.00,321.76
"4581791231-2",2022-12-12 00:00:00.000,2.00,127.84
"4581791231-2",2022-12-21 00:00:00.000,1.00,63.92
"4581791231-8",2023-02-22 00:00:00.000,50.00,8.50
"4581791231-9",2022-12-26 00:00:00.000,50.00,15.00
"4581791619-1",2023-04-27 00:00:00.000,1.00,298.05
"4581791619-2",2023-04-27 00:00:00.000,1.00,1510.64
"4581791619-3",2023-04-27 00:00:00.000,1.00,161.18
"4581791619-4",2023-04-27 00:00:00.000,1.00,1984.86
"4581791897-3",2022-12-20 00:00:00.000,99.00,6.93
"4581792603-1",2023-05-25 00:00:00.000,4.00,12.48
"4581793458-1",2023-05-17 00:00:00.000,1.00,2542.50
"4581793741-1",2024-06-24 00:00:00.000,153.41,110.01
"4581795665-2",2023-03-24 00:00:00.000,1.00,166.25
"4581795665-2",2023-03-27 00:00:00.000,1.00,166.25
"4581795665-4",2022-12-13 00:00:00.000,2.00,277.06
"4581795665-7",2023-05-19 00:00:00.000,16.00,1055.52
"4581795702-11",2023-04-24 00:00:00.000,2.00,1749.86
"4581795702-12",2022-12-06 00:00:00.000,60.00,32.40
"4581795702-13",2022-12-06 00:00:00.000,5.00,3.05
"4581795702-14",2022-12-06 00:00:00.000,10.00,129.20
"4581795702-15",2022-12-06 00:00:00.000,1.00,559.12
"4581795702-17",2022-12-06 00:00:00.000,10.00,330.00
"4581795702-18",2022-12-06 00:00:00.000,2.00,5835.98
"4581795702-19",2023-01-03 00:00:00.000,1.00,1411.67
"4581795702-19",2023-05-03 00:00:00.000,1.00,1411.67
"4581795702-2",2023-01-16 00:00:00.000,10.00,410.00
"4581795702-3",2023-01-16 00:00:00.000,10.00,410.10
"4581795702-4",2022-12-06 00:00:00.000,9.00,1787.94
"4581795702-7",2023-03-14 00:00:00.000,3.00,7073.16
"4581795702-7",2023-04-24 00:00:00.000,2.00,4715.44
"4581795702-8",2022-12-06 00:00:00.000,2.00,1015.64
"4581795702-9",2022-12-21 00:00:00.000,1.00,1911.88
"4581795702-9",2023-01-16 00:00:00.000,1.00,1911.88
"4581798243-2",2022-12-28 00:00:00.000,1.00,8650.14
"4581798243-2",2023-03-15 00:00:00.000,4.00,34600.56
