po_line_id,transaction_type,posting_date,quantity,cost_impact_qty,cost_impact_amount,amount,transaction_id
4581913910-23,GR,2023-06-07 00:00:00,50.0,0.0,0.0,0.0,4581913910-23-GR-20230607-001
4581913910-23,IR,2023-03-28 00:00:00,50.0,50.0,105.5,105.5,4581913910-23-IR-20230328-001
4581913910-24,GR,2023-04-13 00:00:00,25.0,0.0,0.0,0.0,4581913910-24-GR-20230413-001
4581913910-24,IR,2023-01-19 00:00:00,25.0,25.0,118.75,118.75,4581913910-24-IR-20230119-001
4581913910-25,GR,2023-04-13 00:00:00,20.0,0.0,0.0,0.0,4581913910-25-GR-20230413-001
4581913910-25,IR,2023-01-19 00:00:00,20.0,20.0,240.4,240.4,4581913910-25-IR-20230119-001
4581913910-3,GR,2023-03-28 00:00:00,4.0,0.0,0.0,0.0,4581913910-3-GR-20230328-001
4581913910-3,IR,2023-03-07 00:00:00,4.0,4.0,161.68,161.68,4581913910-3-IR-20230307-001
4581913910-4,GR,2023-03-28 00:00:00,1.0,0.0,0.0,0.0,4581913910-4-GR-20230328-001
4581913910-4,IR,2023-03-07 00:00:00,1.0,1.0,502.65,502.65,4581913910-4-IR-20230307-001
4581913910-5,GR,2023-03-28 00:00:00,40.0,0.0,0.0,0.0,4581913910-5-GR-20230328-001
4581913910-5,IR,2023-03-07 00:00:00,40.0,40.0,117.6,117.6,4581913910-5-IR-20230307-001
4581913910-6,GR,2023-04-13 00:00:00,200.0,0.0,0.0,0.0,4581913910-6-GR-20230413-001
4581913910-6,IR,2023-02-24 00:00:00,200.0,200.0,216.0,216.0,4581913910-6-IR-20230224-001
4581913910-7,GR,2023-04-13 00:00:00,20.0,0.0,0.0,0.0,4581913910-7-GR-20230413-001
4581913910-7,IR,2023-02-24 00:00:00,20.0,20.0,3.4,3.4,4581913910-7-IR-20230224-001
4581913910-8,GR,2023-04-13 00:00:00,20.0,0.0,0.0,0.0,4581913910-8-GR-20230413-001
4581913910-8,IR,2023-03-28 00:00:00,20.0,20.0,2.4,2.4,4581913910-8-IR-20230328-001
4581913910-9,GR,2023-08-02 00:00:00,100.0,0.0,0.0,0.0,4581913910-9-GR-20230802-001
4581913910-9,IR,2023-07-15 00:00:00,100.0,100.0,21.0,21.0,4581913910-9-IR-20230715-001
4581913928-1,GR,2023-03-28 00:00:00,3.0,0.0,0.0,0.0,4581913928-1-GR-20230328-001
4581913928-1,IR,2023-03-07 00:00:00,3.0,3.0,189.99,189.99,4581913928-1-IR-20230307-001
4581913928-10,GR,2023-05-17 00:00:00,3.0,0.0,0.0,0.0,4581913928-10-GR-20230517-001
4581913928-10,IR,2023-05-02 00:00:00,3.0,3.0,2446.44,2446.44,4581913928-10-IR-20230502-001
4581913928-11,GR,2023-02-17 00:00:00,2.0,0.0,0.0,0.0,4581913928-11-GR-20230217-001
4581913928-11,IR,2023-01-16 00:00:00,2.0,2.0,883.22,883.22,4581913928-11-IR-20230116-001
4581913928-12,GR,2023-05-17 00:00:00,2.0,0.0,0.0,0.0,4581913928-12-GR-20230517-001
4581913928-12,IR,2023-05-02 00:00:00,2.0,2.0,533.2,533.2,4581913928-12-IR-20230502-001
4581913928-13,GR,2023-06-07 00:00:00,1.0,0.0,0.0,0.0,4581913928-13-GR-20230607-001
4581913928-13,IR,2023-05-17 00:00:00,1.0,1.0,1226.44,1226.44,4581913928-13-IR-20230517-001
4581913928-14,GR,2023-02-17 00:00:00,2.0,0.0,0.0,0.0,4581913928-14-GR-20230217-001
4581913928-14,IR,2023-01-16 00:00:00,2.0,2.0,630.54,630.54,4581913928-14-IR-20230116-001
4581913928-15,GR,2023-05-17 00:00:00,2.0,0.0,0.0,0.0,4581913928-15-GR-20230517-001
4581913928-15,IR,2023-05-02 00:00:00,2.0,2.0,1000.12,1000.12,4581913928-15-IR-20230502-001
