po_line_id,invoice_posting_date,ir_effective_quantity,ir_amount_usd
4791494119-6,2023-01-17,2.0,180.29
4791494119-7,2023-01-17,2.0,180.29
4791494119-8,2023-01-17,2.0,180.29
4791494155-10001,2023-01-03,1.0,264.22
4791494627-10001,2022-12-20,1.0,402.41
4791494637-10001,2022-12-22,2.0,120.72
4791494654-10001,2023-03-01,2.0,40.69
4791494706-10001,2023-03-02,1.0,610.58
4791494830-10001,2023-02-06,1.0,1217.88
4791494830-10002,2023-02-06,1.0,6061.84
4791496339-10001,2023-03-18,1.0,251.01
4791496339-10002,2023-03-18,1.0,47.82
4791496368-1,2023-01-20,2.0,158.02
4791496368-2,2023-01-20,2.0,164.34
4791496368-3,2023-01-20,2.0,151.7
4791496368-4,2023-01-20,4.0,518.33
4791496404-10001,2022-12-23,1.0,700.87
4791496501-10001,2023-03-28,1.0,1100.74
4791496510-10001,2023-02-07,1.0,1721.19
4791496510-2,2023-02-07,1.0,99.46
4791496526-1,2023-04-17,1.0,108.55
4791496526-2,2023-03-03,2.0,312.94
4791496581-1,2023-02-26,1.0,115.58
4791496581-2,2023-04-07,2.0,308.13
4791496583-1,2023-03-03,457.0,43409.76
4791496663-10001,2023-04-06,1.0,100.2
4791496663-10002,2023-04-06,1.0,10.02
4791496663-10003,2023-04-06,1.0,43.42
4791496663-10004,2023-04-06,1.0,267.2
4791496663-10005,2023-04-06,1.0,58.78
4791496667-10001,2023-01-03,1.0,851.62
4791496667-10002,2023-01-03,1.0,135.5
4791496674-10001,2023-03-29,1.0,597.01
4791496674-10002,2023-03-29,1.0,203.52
4791496674-10003,2023-03-29,1.0,81.41
4791496736-1,2022-12-19,3.0,63.55
4791496736-2,2022-12-19,12.0,64.29
4791496736-3,2022-12-19,15.0,28.03
4791496736-4,2022-12-19,1.0,21.8
4791496736-5,2022-12-19,2.0,12.46
4791496736-6,2022-12-19,12.0,5.83
4791496736-7,2022-12-19,1.0,8.0
4791496757-1,2023-02-03,1.0,68750.0
4791496769-1,2022-12-22,10.0,447.48
4791496769-2,2022-12-22,10.0,264.85
4791496769-3,2022-12-22,10.0,130.38
4791496779-1,2022-12-24,1.0,813.8
4791496779-2,2022-12-24,1.0,401.33
4791496817-1,2023-01-20,1.0,822.07
4791496817-2,2023-01-20,1.0,405.41
4791496951-1,2022-12-22,10.0,1074.44
4791496951-2,2022-12-22,2.0,56.76
4791496951-3,2022-12-22,2.0,67.39
4791496951-4,2022-12-22,2.0,68.24
4791496951-5,2022-12-22,2.0,46.49
4791496952-1,2022-12-22,1.0,60.36
4791496980-1,2022-12-21,2.0,9.49
4791496980-2,2022-12-20,2.0,6.0
4791496980-3,2022-12-21,1.0,17.26
4791496980-3,2022-12-31,11.0,189.89
4791496980-5,2022-12-21,4.0,101.16
4791497707-1,2023-02-16,1.0,448.79
4791497761-1,2022-12-21,2.0,1293.48
4791497761-10001,2022-12-21,1.0,108.43
4791497761-2,2022-12-21,1.0,11.18
4791497882-1,2022-12-21,1.0,435.94
4791497882-2,2022-12-21,1.0,28.16
4791497882-3,2022-12-21,1.0,127.43
4791497882-4,2022-12-21,1.0,28.16
4791497889-1,2023-01-06,1.0,160.71
4791497889-10001,2023-01-06,1.0,223.57
4791498598-10001,2023-05-19,1.0,150.66
4791498599-10001,2023-01-12,1.0,1636.09
4791498599-10002,2023-01-12,1.0,763.25
4791498651-10001,2023-06-22,1.0,1243.75
4791498666-10001,2023-01-16,1.0,50.56
4791498666-2,2023-01-16,4.0,467.76
4791498674-10001,2023-05-17,1.0,74.25
4791499397-1,2022-12-27,6.0,51.46
4791499397-2,2022-12-27,5.0,56.37
4791499397-3,2023-01-19,1.0,3.19
4791499397-4,2023-01-20,1.0,3.21
4791500129-10001,2023-05-19,1.0,1064.02
4791500137-10001,2023-06-13,1.0,4070.45
4791500137-10002,2023-06-13,1.0,3197.32
4791500162-10001,2023-10-30,1.0,26750.0
4791500162-10002,2023-07-06,1.0,26750.0
4791500320-1,2023-01-10,36.0,248.53
4791500320-1,2023-04-03,36.0,245.05
4791500320-1,2023-04-04,-36.0,-245.05
4791500320-2,2023-01-10,36.0,324.59
4791500320-2,2023-01-19,6.0,64.91
4791500320-2,2023-04-03,30.0,320.04
4791500320-2,2023-04-04,-36.0,-320.04
4791500320-3,2023-01-10,36.0,213.41
4791500320-3,2023-04-03,36.0,210.42
4791500320-3,2023-04-04,-36.0,-210.42
4791500320-4,2023-01-10,40.0,116.8
4791500320-4,2023-01-20,60.0,175.2
4791500320-4,2023-04-03,40.0,115.16
4791500320-4,2023-04-04,-40.0,-115.16
4791500320-5,2023-01-25,10.0,162.53
4791500320-6,2023-01-19,1.0,501.08
4791500322-10001,2023-01-04,2.0,4622.85
4791500458-1,2023-01-17,1.0,560.0
4791500459-1,2023-03-03,1.0,2583.0
4791500459-2,2023-03-03,1.0,898.0
4791500459-3,2023-03-03,1.0,486.0
4791500479-1,2022-12-22,10.0,234.2
4791500479-10,2022-12-22,10.0,575.31
4791500479-11,2022-12-22,10.0,348.62
4791500479-12,2022-12-22,10.0,183.56
4791500479-2,2022-12-22,10.0,234.2
4791500479-3,2022-12-22,10.0,143.05
4791500479-4,2022-12-22,10.0,459.22
4791500479-5,2022-12-22,10.0,298.52
4791500479-6,2022-12-22,10.0,147.35
4791500479-7,2022-12-22,10.0,290.34
4791500479-8,2022-12-22,10.0,195.9
4791500479-9,2022-12-22,10.0,96.98
4791500581-10001,2023-02-10,1.0,19203.41
4791500598-1,2022-12-22,1.0,1800.0
4791500598-2,2022-12-22,1.0,152.52
4791500598-3,2022-12-22,1.0,625.0
4791500598-4,2022-12-22,1.0,3180.0
4791500598-5,2022-12-22,1.0,4198.0
4791500901-1,2023-02-13,10.0,398.29
4791500931-1,2023-07-25,1.0,200.86
4791500956-1,2023-01-03,24000.0,28800.0
4791501275-10001,2023-01-04,2.0,215.56
4791501413-10001,2023-01-04,2.0,108.83
4791501413-10002,2023-01-04,2.0,393.15
4791501474-10001,2023-01-04,2.0,316.63
4791501474-10002,2023-01-04,2.0,53.31
4791503090-10001,2022-12-27,1.0,65.12
4791503090-10002,2022-12-27,1.0,195.37
4791503090-10003,2022-12-27,1.0,304.22
4791503153-10001,2023-01-25,1.0,12465.02
4791503153-10001,2023-03-20,1.0,1702.08
4791503153-10002,2023-03-20,1.0,3997.88
4791503153-10003,2023-03-20,2.0,3426.75
4791503164-10001,2023-03-13,2.0,14751.38
4791503164-10001,2023-06-25,1.0,10364.97
4791503164-10002,2023-03-13,1.0,1702.08
4791503164-10002,2023-06-25,1.0,4909.72
4791503164-10003,2023-06-25,1.0,1636.57
4791503177-10001,2023-03-13,1.0,4100.98
4791503177-10002,2023-03-13,1.0,1784.65
4791503177-10003,2023-03-13,1.0,616.73
4791503177-10004,2023-03-13,1.0,2229.38
4791503177-10004,2023-04-02,1.0,731.71
4791503197-10001,2023-03-30,1.0,3189.65
4791503197-10002,2023-03-30,1.0,1189.76
4791503197-10004,2023-03-30,1.0,2229.38
4791503230-10001,2023-04-13,1.0,9549.97
4791503237-10001,2023-03-13,2.0,7162.65
4791503237-10001,2023-03-28,1.0,6267.32
4791503237-10001,2023-06-25,3.0,9900.04
4791503237-10001,2023-07-07,2.0,1752.6
4791503237-10001,2023-07-13,1.0,876.3
4791503237-10002,2023-03-13,2.0,1753.32
4791503237-10002,2023-03-28,1.0,1753.33
4791503237-10002,2023-06-25,2.0,2809.75
4791503237-10003,2023-03-13,1.0,1211.81
4791503237-10003,2023-03-28,1.0,1817.72
4791503237-10003,2023-06-03,1.0,860.87
4791503237-10003,2023-06-25,3.0,2912.92
4791503237-10004,2023-03-13,2.0,2920.32
4791503237-10004,2023-06-25,2.0,2807.92
4791503245-10001,2023-12-28,1.0,4500.0
4791503255-10001,2023-03-13,1.0,2229.38
4791503255-10001,2023-03-20,1.0,7290.74
4791503255-10001,2023-04-19,1.0,2692.02
4791503255-10001,2023-05-20,3.0,7093.41
4791503255-10001,2023-06-25,1.0,1314.4
4791503255-10002,2023-03-13,1.0,1189.76
4791503255-10002,2023-03-20,1.0,1784.65
4791503255-10002,2023-04-19,1.0,585.74
4791503255-10002,2023-05-20,2.0,1157.56
4791503255-10002,2023-06-25,1.0,571.98
4791503255-10003,2023-03-20,2.0,1850.2
4791503255-10003,2023-04-19,1.0,607.26
4791503255-10003,2023-05-20,2.0,1200.08
4791503255-10004,2023-03-13,1.0,3189.7
4791503255-10004,2023-04-19,2.0,1463.42
4791503255-10004,2023-05-20,1.0,723.01
4791503256-10001,2023-08-17,1.0,798.26
4791503256-10002,2023-08-17,1.0,853.66
4791503256-10003,2023-08-17,1.0,3957.55
4791503256-10004,2023-08-17,1.0,4043.75
4791503256-10005,2023-08-17,1.0,6204.1
4791503261-10001,2023-02-03,1.0,977.5
4791503275-10001,2023-03-03,2.0,10931.46
4791503275-10001,2023-03-16,1.0,3239.8
4791503275-10002,2023-03-16,1.0,1191.37
4791503275-10004,2023-03-16,1.0,2229.38
4791503284-10001,2023-03-13,1.0,2776.97
4791503284-10002,2023-03-13,1.0,595.68
4791503284-10003,2023-03-13,1.0,616.73
4791503338-10001,2023-05-18,1.0,4500.0
4791503587-1,2023-01-05,2.0,488.83
4791503904-10001,2023-05-11,1.0,99.53
4791503904-10002,2023-05-11,1.0,669.3
4791503904-10003,2023-01-12,1.0,575.77
4791504008-10001,2023-02-07,1.0,500.0
4791504008-10002,2023-02-07,1.0,260.0
4791504040-1,2022-12-21,2.0,32.19
4791504040-2,2022-12-21,12.0,168.41
4791504040-3,2022-12-21,2.0,44.36
4791504040-4,2022-12-21,1.0,29.28
4791504040-5,2022-12-21,2.0,121.12
4791504042-1,2022-12-21,3.0,181.69
4791504042-2,2022-12-21,4.0,242.25
4791504046-1,2023-05-02,13.0,32.31
4791504046-2,2023-05-02,5.0,55.68
4791504046-3,2023-05-02,25.0,62.7
4791504046-4,2023-05-02,6.0,31.18
4791504048-1,2022-12-21,8.0,147.92
4791504107-1,2023-01-03,24000.0,71760.0
4791504149-1,2022-12-26,1.0,4748.0
4791504149-2,2022-12-26,1.0,4748.0
4791504265-1,2022-12-21,1.0,448.59
4791504265-10001,2022-12-21,1.0,31.15
4791504780-1,2023-01-18,1.0,1815.52
4791504780-2,2023-01-18,1.0,589.6
4791504780-3,2023-01-18,1.0,46.7
4791504780-4,2023-01-18,1.0,33.87
4791505231-1,2023-02-01,2.0,4080.0
4791505306-1,2023-01-11,10.0,104.0
4791506468-1,2023-04-07,1.0,154.06
4791506468-2,2023-01-18,1.0,110.1
4791506469-10001,2023-01-25,1.0,1398.78
4791506530-10001,2023-03-13,1.0,4165.46
4791506530-10001,2023-04-02,1.0,1367.15
4791506530-10002,2023-03-13,1.0,1787.05
4791506530-10003,2023-03-13,1.0,1233.47
4791506530-10004,2023-03-13,1.0,1486.25
4791506530-10004,2023-03-28,1.0,743.12
4791506596-1,2022-12-27,10.0,26.96
4791506596-2,2022-12-27,50.0,523.47
4791506596-3,2022-12-27,10.0,95.5
4791506596-4,2023-01-11,100.0,480.35
4791506599-10001,2023-01-11,1.0,40.65
4791506609-10001,2023-01-11,1.0,609.75
4791506633-10001,2023-01-11,1.0,81.3
4791506633-10002,2023-01-10,1.0,243.9
4791506638-10001,2023-01-11,1.0,650.4
4791506674-10001,2023-01-11,1.0,691.05
4791506676-10001,2023-01-09,1.0,162.09
4791506679-10001,2023-01-05,1.0,313.52
4791506679-10002,2023-01-05,1.0,208.67
4791506682-10001,2023-01-06,1.0,1888.52
4791506701-10001,2023-01-03,1.0,650.4
4791506705-10001,2023-01-05,1.0,45.16
4791506705-10002,2023-01-05,1.0,86.4
4791506705-10003,2023-01-05,1.0,238.87
4791506710-1,2023-01-03,20.0,316.66
4791506710-10001,2023-01-03,1.0,187.8
4791506710-10002,2023-01-03,1.0,162.6
4791506710-2,2023-01-03,1.0,89.15
4791506710-3,2023-01-03,1.0,3.17
4791506710-4,2023-01-03,1.0,1.32
4791506710-5,2023-01-03,1.0,3.17
4791506710-6,2023-01-03,1.0,33.02
4791506715-10001,2023-01-09,1.0,68.73
4791506716-10001,2023-01-08,1.0,1053.65
4791506788-10001,2023-01-05,1.0,59.56
4791506788-10002,2023-01-05,1.0,34.22
4791506791-10001,2023-01-05,1.0,103.74
4791506791-10002,2023-01-05,1.0,126.31
4791506791-10003,2023-01-05,1.0,225.54
4791506798-10001,2023-01-05,1.0,68.45
4791506798-10002,2023-01-05,1.0,191.7
4791506892-1,2023-01-10,1.0,1130.97
4791506894-10001,2023-01-03,1.0,1117.88
4791506894-10002,2023-01-03,1.0,650.4
4791506894-2,2023-01-03,1.0,27.12
4791507001-10001,2023-02-13,1.0,154.33
4791507001-10001,2023-02-28,1.0,17.85
4791507001-10002,2023-02-28,1.0,39.54
4791507001-10002,2023-03-15,1.0,40.14
4791507089-10001,2023-02-10,1.0,107.35
4791507166-1,2022-12-27,1.0,1073.1
4791507168-1,2023-02-05,1.0,110.95
4791507168-2,2023-02-05,1.0,343.52
4791507168-3,2023-02-05,1.0,59.74
4791507168-4,2023-02-05,1.0,14.93
4791507289-10001,2023-03-03,1.0,689.95
4791507289-10001,2023-03-04,-1.0,-142.46
4791507289-10002,2023-03-31,1.0,1918.58
4791507289-10003,2023-04-01,1.0,2172.47
4791507289-10004,2023-05-05,1.0,1866.66
4791507289-10005,2023-06-22,1.0,2121.46
4791507289-10006,2023-07-12,1.0,2095.48
4791507289-10007,2023-08-30,1.0,2018.62
4791507289-10008,2023-08-31,1.0,769.0
4791508061-10001,2023-01-29,1.0,579.26
4791508062-1,2022-12-26,1.0,1065.07
4791508573-10001,2023-01-18,1.0,197.22
4791508786-1,2023-01-18,2.0,49.11
4791508786-2,2023-01-18,2.0,43.36
4791508786-3,2023-01-18,2.0,33.11
4791508786-4,2023-01-18,2.0,277.77
4791509584-1,2022-12-30,2.0,87.4
4791509584-2,2022-12-24,12.0,164.8
4791509720-11,2023-03-28,4.0,82.17
4791509720-3,2023-04-12,1.0,90.44
4791509722-1,2023-03-14,12.0,151.99
4791509736-10001,2023-06-28,1.0,181.38
4791509736-10002,2023-06-28,1.0,174.0
4791509736-10003,2023-06-28,1.0,587.28
4791509736-10004,2023-06-28,1.0,42.4
4791509736-10005,2023-06-28,1.0,15.0
4791509736-10006,2023-06-28,1.0,4.56
4791509736-10007,2023-07-27,1.0,1885.13
4791509836-1,2023-01-05,1.0,484.41
4791509836-2,2023-01-05,45.0,475.0
4791509836-3,2023-01-05,1.0,34.39
4791509836-4,2023-01-05,1.0,49.39
4791509836-5,2023-01-05,1.0,38.42
4791509836-6,2023-01-05,2.0,104.9
4791509836-7,2023-01-05,1.0,29.81
4791509836-8,2023-01-05,1.0,14.9
4791509836-9,2023-01-05,1.0,30.48
4791509851-1,2023-05-10,10.0,5.94
4791509851-2,2023-05-10,20.0,53.06
4791509851-3,2023-05-10,3.0,13.54
4791509851-4,2023-05-10,3.84,48.48
4791509851-5,2023-05-10,0.75,21.61
4791509881-1,2023-05-25,1.0,462.15
4791509906-1,2023-01-04,12.0,157.54
4791509906-2,2023-01-04,12.0,77.74
4791509906-3,2023-01-04,1.0,34.77
4791509906-4,2023-01-04,1.0,18.96
4791509970-1,2023-01-10,10.0,71.47
4791509970-2,2023-01-10,10.0,71.47
4791509970-3,2023-01-10,10.0,71.47
4791509970-4,2023-01-11,80.0,151.76
4791509970-5,2023-01-10,20.0,1.56
4791509970-6,2023-01-10,5.0,17.1
4791509970-7,2023-01-27,1.0,73.44
4791509970-8,2023-01-10,2.0,25.97
4791509970-9,2023-04-24,2.0,204.79
4791510042-10001,2022-12-29,1.0,134.57
4791510126-1,2022-12-29,10.0,12.47
4791510126-2,2022-12-29,1.0,2.47
4791510126-3,2022-12-29,4.0,36.75
4791510126-4,2022-12-29,8.0,16.63
4791510126-5,2022-12-29,40.0,42.11
4791510126-6,2022-12-29,6.0,92.03
4791510229-1,2023-01-05,1.0,508.13
4791510229-2,2023-01-05,1.0,508.13
4791510229-3,2023-01-05,1.0,508.13
4791510341-1,2023-06-23,1.0,489.23
4791510341-2,2023-06-23,1.0,489.23
4791510341-3,2023-06-23,1.0,489.23
4791510370-1,2023-01-05,1.0,508.13
4791510370-2,2023-01-05,1.0,508.13
4791510370-3,2023-01-05,1.0,508.13
4791510461-10001,2023-01-18,1.0,2168.36
4791510461-10002,2023-01-18,1.0,501.35
4791510461-10003,2023-01-18,1.0,203.25
4791510461-10006,2023-01-18,1.0,101.62
4791510461-6,2023-01-18,1.0,288.88
4791510535-1,2023-01-06,2.0,198.18
4791510535-2,2023-01-06,1.0,44.03
4791510622-10001,2023-03-03,1.0,3087.0
4791510622-10002,2023-03-03,1.0,3087.0
4791510622-10003,2023-03-03,1.0,3087.0
4791510622-10004,2023-03-03,1.0,3087.0
4791510622-10005,2023-04-26,1.0,3087.0
4791510622-10006,2023-05-29,1.0,3087.0
4791510622-10007,2023-06-30,1.0,3087.0
4791510622-10008,2023-12-15,1.0,3087.0
4791510622-10009,2023-08-29,1.0,3087.0
4791510622-10010,2024-01-30,1.0,3087.0
4791510622-10011,2023-12-28,1.0,3087.0
4791510622-10012,2024-01-11,1.0,3087.0
4791510626-4,2023-02-03,2.5,108.89
4791510713-10001,2023-01-12,1.0,1550.0
4791510718-1,2023-01-11,6.0,143.84
4791510803-10002,2023-02-02,1.0,1522.8
4791510803-10006,2023-02-02,1.0,63396.0
4791511041-10001,2023-01-06,1.0,1937.66
4791511768-10001,2023-03-17,1.0,2417.91
4791511768-10002,2023-03-17,1.0,101.76
4791511768-10003,2023-03-17,1.0,101.76
4791512874-10001,2023-03-02,1.0,1546.81
4791512874-10002,2023-05-16,1.0,1555.11
4791512883-1,2023-01-20,2.0,445.12
4791513008-1,2023-04-06,8.0,17160.0
4791513008-1,2023-06-07,-8.0,-17160.0
4791513008-1,2023-12-22,8.0,17160.0
4791513314-10001,2023-05-09,1.0,17.82
4791513314-10002,2023-05-09,1.0,330.03
4791513330-10001,2023-01-23,1.0,157.18
4791513330-10002,2023-01-23,1.0,98.23
4791513330-10003,2023-01-23,1.0,98.23
4791513330-10004,2023-01-23,1.0,157.18
4791513443-10001,2023-01-31,1.0,4405.0
4791513443-10001,2023-03-01,-1.0,-1811.61
4791515335-1,2023-07-12,1.0,464.92
4791515412-10001,2023-04-13,1.0,2338.0
4791515412-10002,2023-04-13,1.0,27.05
4791515412-10003,2023-04-13,1.0,46.76
4791515618-10001,2023-06-19,1.0,143.5
4791515618-10002,2023-06-19,1.0,6357.11
4791515618-10003,2023-06-19,1.0,9328.11
4791515618-10004,2023-06-19,1.0,990.18
4791515618-10005,2023-06-19,1.0,861.05
4791518110-1,2023-01-11,1.0,203.25
4791518232-1,2023-01-17,1.0,676.35
4791518639-10001,2023-11-08,1.0,477.7
4791518639-10002,2023-11-08,1.0,178.34
4791518639-10003,2023-11-08,1.0,114.64
4791518639-10004,2023-11-08,1.0,3328.02
4791518639-10005,2023-11-08,1.0,191.08
4791518639-10006,2023-11-08,1.0,2942.67
4791518639-10007,2023-11-08,1.0,7184.71
4791518990-1,2023-01-20,1.0,694.44
4791519092-1,2023-06-03,1.0,453.47
4791519092-2,2023-06-03,1.0,396.06
4791519092-3,2023-06-03,1.0,168.03
4791519092-4,2023-06-03,1.0,798.83
4791519092-5,2023-06-03,1.0,1848.63
4791519092-6,2023-06-03,2.0,146.41
4791519092-7,2023-06-03,1.0,88.06
4791519093-1,2023-06-04,10.0,554.46
4791519093-10001,2023-06-04,1.0,1011.08
4791519093-10002,2023-06-04,1.0,1011.08
4791519298-1,2023-01-19,2.0,222.84
4791519298-2,2023-01-19,4.0,31.68
4791520634-1,2023-01-18,20.0,522.62
4791520634-1,2023-04-03,-20.0,-515.29
4791520634-1,2023-04-05,20.0,515.29
4791520634-10,2023-01-18,2.0,42.05
4791520634-10,2023-04-03,-2.0,-41.46
4791520634-10,2023-04-05,2.0,41.46
4791520634-11,2023-01-18,1.0,6.28
4791520634-11,2023-04-03,-1.0,-6.19
4791520634-11,2023-04-05,1.0,6.19
4791520634-12,2023-01-18,2.0,43.18
4791520634-12,2023-04-03,-2.0,-42.57
4791520634-12,2023-04-05,2.0,42.57
4791520634-2,2023-01-18,7.0,32.76
4791520634-2,2023-04-03,-7.0,-32.3
4791520634-2,2023-04-05,7.0,29.36
4791520634-3,2023-01-18,1.0,14.5
4791520634-3,2023-04-03,-1.0,-14.3
4791520634-3,2023-04-05,1.0,14.3
4791520634-4,2023-01-18,2.0,24.86
4791520634-4,2023-04-03,-2.0,-24.51
4791520634-4,2023-04-05,2.0,24.51
4791520634-5,2023-01-18,2.0,24.86
4791520634-5,2023-04-03,-2.0,-24.51
4791520634-5,2023-04-05,2.0,24.51
4791520634-6,2023-01-18,1.0,6.0
4791520634-6,2023-04-03,-1.0,-5.92
4791520634-6,2023-04-05,1.0,5.92
4791520634-7,2023-01-18,2.0,10.51
4791520634-7,2023-04-03,-2.0,-10.36
4791520634-7,2023-04-05,2.0,10.36
4791520634-8,2023-01-18,2.0,6.66
4791520634-8,2023-04-03,-2.0,-6.57
4791520634-8,2023-04-05,2.0,6.57
4791520634-9,2023-01-18,60.0,120.32
4791520634-9,2023-04-03,-60.0,-118.63
4791520634-9,2023-04-05,60.0,118.63
4791520674-1,2023-01-20,2.0,166.86
4791520676-1,2023-06-26,2.0,430.64
4791520676-10,2023-06-26,2.0,93.9
4791520676-11,2023-06-26,2.0,23.2
4791520676-12,2023-06-26,1.0,83.35
4791520676-13,2023-06-26,2.0,50.6
4791520676-14,2023-06-26,4.0,184.4
4791520676-15,2023-06-26,100.0,1436.0
4791520676-16,2023-06-26,2.0,31.06
4791520676-17,2023-06-26,100.0,1324.0
4791520676-18,2023-06-26,1.0,631.25
4791520676-19,2023-06-26,1.0,92.0
4791520676-2,2023-06-26,4.0,3.72
4791520676-20,2023-06-26,20.0,2400.0
4791520676-21,2023-06-26,2.0,200.0
4791520676-22,2023-06-26,1.0,223.22
4791520676-23,2023-06-26,4.0,400.0
4791520676-24,2023-06-26,1.0,427.75
4791520676-25,2023-06-26,10.0,16500.0
4791520676-26,2023-06-26,8.0,960.0
4791520676-27,2023-06-26,1.0,2784.51
4791520676-3,2023-06-26,8.0,30.16
4791520676-4,2023-06-26,8.0,54.08
4791520676-5,2023-06-26,10.0,37.4
4791520676-6,2023-06-26,2.0,21.0
4791520676-7,2023-06-26,30.0,39.6
4791520676-8,2023-06-26,2.0,2087.5
4791520676-9,2023-06-26,2.0,80.3
4791520908-10001,2023-03-01,1.0,123.58
4791520908-10002,2023-03-01,1.0,109.24
4791520908-10003,2023-03-01,1.0,49.59
4791520908-10004,2023-03-01,1.0,38.05
4791520908-10005,2023-03-01,1.0,67.84
4791520908-10006,2023-03-01,1.0,213.7
4791520908-10007,2023-03-01,1.0,31.96
4791520987-1,2023-03-22,2.0,4308.0
4791521280-1,2023-01-03,4.0,78.83
4791521280-1,2023-01-10,11.0,216.79
4791521280-1,2023-01-13,3.0,59.12
4791521280-1,2023-05-22,-3.0,-57.6
4791521280-2,2023-01-03,12.0,236.5
4791521280-2,2023-01-13,6.0,118.25
4791521280-2,2023-05-22,-3.0,-57.6
4791521280-3,2023-01-03,9.0,177.37
4791521280-3,2023-05-22,6.0,115.2
4791521280-4,2023-01-10,12.0,236.5
4791521280-5,2023-01-03,20.0,222.38
4791521280-5,2023-01-26,5.0,55.62
4791521280-6,2023-01-26,20.0,222.35
4791521281-1,2023-01-05,3.0,31.37
4791521372-10001,2023-03-19,2.0,3805.96
4791521534-1,2023-01-09,5.0,129.84
4791521534-1,2023-03-03,-5.0,-130.02
4791521681-1,2023-01-04,15.0,47.93
4791521681-10,2023-01-04,12.0,116.33
4791521681-11,2023-01-04,12.0,82.92
4791521681-2,2023-01-04,15.0,47.93
4791521681-3,2023-01-04,15.0,48.11
4791521681-4,2023-01-04,15.0,47.93
4791521681-5,2023-01-03,15.0,49.18
4791521681-6,2023-01-10,24.0,420.81
4791521681-7,2023-01-10,24.0,473.0
4791521681-8,2023-01-10,24.0,473.0
4791521681-9,2023-01-10,24.0,473.0
4791522808-1,2023-01-19,1.0,27.49
4791522808-2,2023-01-20,10.0,934.95
4791522808-3,2023-01-20,6.0,524.02
4791523309-10001,2023-02-02,1.0,325.69
4791523309-10002,2023-04-27,1.0,1082.39
4791523480-10001,2023-01-12,1.0,7000.0
4791523480-10002,2023-01-12,1.0,3033.29
4791523620-10001,2023-03-10,1.0,162.82
4791523620-10001,2023-07-13,1.0,570.79
4791523620-10003,2023-03-10,1.0,6246.3
4791523620-10003,2023-06-01,-1.0,-6005.9
4791523620-10003,2023-06-03,1.0,5379.68
4791523620-10003,2023-07-13,1.0,7301.51
4791523620-10003,2023-07-19,1.0,14603.02
4791523620-10004,2023-03-10,1.0,14598.13
4791523620-10004,2023-04-25,1.0,9181.76
4791523620-10004,2023-04-28,1.0,3672.7
4791523620-10004,2023-06-01,-1.0,-14036.3
4791523620-10004,2023-06-03,1.0,13449.21
4791523620-10004,2023-07-13,1.0,1825.37
4791523620-10005,2023-06-12,1.0,25105.2
4791523620-10006,2023-06-12,1.0,2689.84
4791523620-10006,2023-07-13,1.0,1825.37
4791523660-10001,2023-03-09,1.0,203.52
4791523804-1,2023-01-05,2000.0,257.45
4791523951-1,2023-04-07,2.0,445.87
4791523951-2,2023-02-02,1.0,115.58
4791524018-1,2023-02-21,2.0,1980.0
4791524032-1,2023-04-25,1.0,360.29
4791524038-1,2023-03-23,2.0,332.83
4791524038-2,2023-02-28,1.0,115.58
4791524176-10001,2023-02-15,1.0,645.87
4791524176-10001,2023-03-01,1.0,3080.39
4791524176-10001,2023-04-03,1.0,1213.22
4791524176-10002,2023-02-15,1.0,4521.12
4791524176-10002,2023-03-01,1.0,616.07
4791524176-10002,2023-04-03,1.0,4852.9
4791524176-10004,2023-04-03,1.0,606.61
4791524218-1,2023-02-09,1.0,227.59
4791524218-2,2023-02-09,1.5,197.36
4791524218-3,2023-02-09,1.0,227.59
4791524448-1,2023-02-21,2.0,1980.0
4791525876-1,2023-01-03,1.0,27.96
4791525876-2,2023-01-04,3.0,83.9
4791525876-3,2023-01-03,4.0,111.86
4791525876-4,2023-01-04,1.0,27.96
4791525878-10001,2023-04-05,1.0,70.56
4791525878-10002,2023-02-16,1.0,58.25
4791525878-10003,2023-04-05,1.0,75.75
4791525961-1,2023-01-03,2.0,46.72
4791525961-2,2023-01-03,2.0,55.93
4791525961-2,2023-01-12,2.0,55.93
4791525961-3,2023-01-12,1.0,27.96
4791525961-4,2023-01-12,2.0,55.93
4791525992-10001,2023-02-07,1.0,5280.93
4791526041-1,2023-01-03,1.0,27.96
4791526041-1,2023-01-05,5.0,139.83
4791526041-2,2023-01-05,2.0,55.93
4791526046-1,2023-01-20,1.0,31.89
4791526046-2,2023-01-04,2.0,63.78
4791526160-10001,2023-01-29,1.0,410.44
4791526160-10001,2023-04-13,1.0,3086.17
4791526215-10001,2023-01-06,1.0,1056.91
4791526418-10001,2023-06-23,1.0,11725.49
4791526418-10002,2023-06-23,1.0,1503.67
4791528329-1,2023-01-17,26.0,5284.55
4791528329-1,2023-06-02,-0.01,487.6
4791529764-1,2023-01-10,2.0,1109.39
4791529945-10001,2023-01-05,1.0,2400.31
4791529945-10002,2023-01-05,1.0,81.3
4791529945-2,2023-01-05,1.0,2400.31
4791530394-1,2023-01-23,1.0,2696.47
4791530399-1,2023-03-12,1.0,1424.69
4791530492-1,2023-03-12,1.0,576.66
4791530548-1,2023-01-11,51.0,4837.39
4791530548-1,2023-05-17,-51.0,-4712.87
4791530548-1,2023-05-20,51.0,4721.63
4791530548-10,2023-01-11,17.0,1.05
4791530548-10,2023-05-17,-17.0,-1.02
4791530548-10,2023-05-20,5.0,0.29
