po_line_id,invoice_posting_date,ir_effective_quantity,ir_amount_usd
4581776260-10,2023-03-14,20.0,16.8
4581776260-11,2023-05-08,2.0,443.32
4581776260-12,2023-03-14,1.0,658.82
4581776260-14,2023-03-14,3.0,394.26
4581776260-15,2023-03-06,3.0,313.89
4581776260-16,2023-02-01,3.0,233.31
4581776260-17,2023-03-14,3.0,111.27
4581776260-18,2023-03-14,10.0,151.1
4581776260-19,2023-02-01,3.0,330.96
4581776260-2,2023-05-26,1.0,450.98
4581776260-20,2023-03-14,4.0,187.32
4581776260-21,2023-03-14,1.0,40.58
4581776260-22,2023-11-20,1.0,139.0
4581776260-23,2023-01-21,2.0,30.0
4581776260-24,2023-03-14,15.0,35.85
4581776260-25,2023-03-14,3.0,1.17
4581776260-26,2023-03-29,1.0,397.15
4581776260-28,2023-03-14,1.0,223.01
4581776260-29,2023-03-14,1.0,101.49
4581776260-3,2023-03-06,1.0,212.32
4581776260-30,2023-03-14,50.0,29.0
4581776260-31,2024-05-16,4.0,453.4
4581776260-33,2023-03-14,20.0,212.8
4581776260-34,2023-03-14,34.0,55.42
4581776260-35,2023-03-22,20.0,29.8
4581776260-36,2023-03-14,20.0,39.0
4581776260-37,2023-03-24,80.0,55.2
4581776260-38,2023-02-11,37.0,235.32
4581776260-39,2023-03-04,5.0,563.05
4581776260-4,2023-03-14,1.0,497.38
4581776260-40,2023-03-14,70.0,18.2
4581776260-41,2023-03-14,50.0,23.5
4581776260-42,2023-03-14,20.0,450.4
4581776260-43,2023-04-03,5.0,279.8
4581776260-44,2023-03-07,1.0,229.61
4581776260-45,2023-03-14,35.0,13.65
4581776260-47,2023-03-14,5.0,278.5
4581776260-48,2023-02-18,50.0,22.0
4581776260-5,2023-03-14,3.0,424.26
4581776260-50,2023-03-14,20.0,4.2
4581776260-52,2023-03-14,20.0,4.2
4581776260-53,2023-03-14,3.0,38.04
4581776260-54,2023-03-19,5.0,60.75
4581776260-55,2023-02-01,15.0,42.75
4581776260-59,2023-08-17,50.0,99.5
4581776260-6,2023-03-14,3.0,425.85
4581776260-60,2023-02-01,5.0,1.65
4581776260-60,2023-03-14,30.0,9.9
4581776260-61,2022-12-06,5.0,1.15
4581776260-63,2023-03-14,20.0,1.4
4581776260-64,2023-09-08,25.0,105.5
4581776260-65,2023-03-29,3.0,1.74
4581776260-66,2023-03-19,98.0,226.38
4581776260-67,2023-03-14,14.0,12.32
4581776260-68,2023-05-25,8.0,24.96
4581776260-7,2023-04-03,3.0,414.99
4581776260-8,2023-03-14,1.0,461.65
4581776260-9,2023-03-14,50.0,20.5
4581777094-1,2022-12-07,4.0,856.8
4581777094-2,2022-12-07,21.0,8239.56
4581777094-2,2023-03-04,5.0,162.97
4581791231-1,2023-01-20,5.0,185.3
4581791231-10,2023-05-26,100.0,100.0
4581791231-13,2023-03-22,1968.0,196.8
4581791231-16,2023-02-11,1.0,321.76
4581791231-2,2022-12-12,2.0,127.84
4581791231-2,2022-12-21,1.0,63.92
4581791231-8,2023-02-22,50.0,8.5
4581791231-9,2022-12-26,50.0,15.0
4581791619-1,2023-04-27,1.0,298.05
4581791619-2,2023-04-27,1.0,1510.64
4581791619-3,2023-04-27,1.0,161.18
4581791619-4,2023-04-27,1.0,1984.86
4581791897-3,2022-12-20,99.0,6.93
4581792603-1,2023-05-25,4.0,12.48
4581793458-1,2023-05-17,1.0,2542.5
4581793741-1,2024-06-24,153.41,110.01
4581795665-2,2023-03-24,1.0,166.25
4581795665-2,2023-03-27,1.0,166.25
4581795665-4,2022-12-13,2.0,277.06
4581795665-7,2023-05-19,16.0,1055.52
4581795702-11,2023-04-24,2.0,1749.86
4581795702-12,2022-12-06,60.0,32.4
4581795702-13,2022-12-06,5.0,3.05
4581795702-14,2022-12-06,10.0,129.2
4581795702-15,2022-12-06,1.0,559.12
4581795702-17,2022-12-06,10.0,330.0
4581795702-18,2022-12-06,2.0,5835.98
4581795702-19,2023-01-03,1.0,1411.67
4581795702-19,2023-05-03,1.0,1411.67
4581795702-2,2023-01-16,10.0,410.0
4581795702-3,2023-01-16,10.0,410.1
