PO Line ID,Invoice Posting Date,IR Effective Quantity,Invoice Amount
4581930554-7,2023-03-14 00:00:00.000,2.0,227.08
4581930554-8,2023-02-18 00:00:00.000,1.0,3429.45
4581930554-8,2023-08-10 00:00:00.000,1.0,3429.45
4581930555-1,2023-02-03 00:00:00.000,5.0,220.55
4581930627-1,2023-01-20 00:00:00.000,300.0,147.0
4581930627-2,2023-02-03 00:00:00.000,200.0,296.0
4581930629-1,2023-03-28 00:00:00.000,1.0,44.11
4581930629-1,2023-04-07 00:00:00.000,4.0,176.44
4581930801-1,2023-02-02 00:00:00.000,4.0,507.52
4581930807-1,2023-01-23 00:00:00.000,1.0,5893.09
4581931820-1,2023-01-20 00:00:00.000,100.0,108.0
4581932888-1,2023-04-11 00:00:00.000,1.0,3261.2
4581934264-1,2023-10-25 00:00:00.000,1.0,1535.41
4581934939-1,2023-02-21 00:00:00.000,10.0,103.7
4581934939-2,2023-02-22 00:00:00.000,5.0,52.2
4581934939-2,2023-07-20 00:00:00.000,1.0,10.44
4581934939-3,2023-02-11 00:00:00.000,100.0,180.0
4581934939-4,2023-02-22 00:00:00.000,50.0,291.0
4581934939-5,2023-02-22 00:00:00.000,5.0,5.0
4581934939-6,2023-02-22 00:00:00.000,100.0,35.0
4581935939-1,2023-05-06 00:00:00.000,2.0,33949.66
4581936207-1,2023-06-07 00:00:00.000,4.0,2138.12
4581936207-2,2023-06-07 00:00:00.000,2.0,3498.78
4581936207-3,2023-06-07 00:00:00.000,2.0,1903.14
4581936207-4,2023-06-07 00:00:00.000,2.0,822.16
4581936254-1,2023-02-09 00:00:00.000,1.0,2407.67
4581938168-1,2023-01-20 00:00:00.000,10.0,58.2
4581938168-2,2023-01-20 00:00:00.000,3.0,20.64
4581940635-1,2023-03-21 00:00:00.000,10.0,2263.4
4581942927-1,2023-02-01 00:00:00.000,1.0,502.65
4581945201-1,2023-02-07 00:00:00.000,1.0,2070.61
4581945202-1,2023-01-20 00:00:00.000,1.0,2627.96
4581945254-1,2023-01-18 00:00:00.000,2.0,4141.2
4581945279-1,2023-02-15 00:00:00.000,2802.0,12833.16
4581945279-2,2023-02-15 00:00:00.000,1460.0,6234.2
4581945279-3,2023-02-15 00:00:00.000,10502.0,42218.04
4581945279-4,2023-02-15 00:00:00.000,1.0,8769.6
4581945279-5,2023-02-15 00:00:00.000,1.0,1710.28
4581945279-6,2023-02-15 00:00:00.000,14764.0,1033.48
4581945279-7,2023-02-15 00:00:00.000,1.0,242.59
4581945279-8,2023-02-15 00:00:00.000,1.0,302.47
4581945279-9,2023-02-15 00:00:00.000,1.0,493.29
4581947350-1,2023-03-10 00:00:00.000,100.0,155.0
4581947350-2,2023-03-10 00:00:00.000,100.0,166.0
4581947350-3,2023-03-10 00:00:00.000,50.0,121.0
4581947350-4,2023-03-10 00:00:00.000,10.0,122.9
4581947704-1,2023-06-03 00:00:00.000,1.0,880.53
4581947704-2,2023-03-19 00:00:00.000,2.0,1214.68
4581947704-3,2023-05-25 00:00:00.000,2.0,4846.28
4581947704-4,2023-02-01 00:00:00.000,2.0,284.52
4581947704-5,2023-03-07 00:00:00.000,8.0,18.32
4581947704-5,2023-03-24 00:00:00.000,2.0,4.58
4581951718-1,2023-02-01 00:00:00.000,95.0,95.0
4581953428-2,2023-03-08 00:00:00.000,100.0,25.0
4581953431-1,2023-07-27 00:00:00.000,1.0,1512.02
4581953432-1,2024-02-09 00:00:00.000,2.0,597.14
4581953435-1,2024-02-05 00:00:00.000,1.0,298.56
4581955167-1,2023-04-26 00:00:00.000,10.0,0.7
4581956246-1,2023-03-02 00:00:00.000,2.0,1678.02
4581956277-1,2024-02-05 00:00:00.000,2.0,597.12
4581961637-1,2023-02-22 00:00:00.000,2.0,4993.8
4581961951-1,2023-05-08 00:00:00.000,4.0,319.64
4581961952-2,2023-02-03 00:00:00.000,6.0,58.86
4581961952-2,2023-02-21 00:00:00.000,2.0,19.62
4581961952-3,2023-03-28 00:00:00.000,8.0,126.64
4581961952-4,2023-03-29 00:00:00.000,5.0,221.25
4581961952-4,2023-04-13 00:00:00.000,3.0,132.75
4581962043-1,2023-02-03 00:00:00.000,10.0,262.1
4581962043-2,2023-05-08 00:00:00.000,4.0,241.56
4581962043-3,2023-02-03 00:00:00.000,10.0,9.3
4581962043-4,2023-05-25 00:00:00.000,2.0,226.3
4581962043-5,2023-02-03 00:00:00.000,2.0,191.8
4581962043-6,2023-02-03 00:00:00.000,2.0,373.26
4581962043-7,2023-02-03 00:00:00.000,2.0,155.18
4581968803-1,2023-01-29 00:00:00.000,2.0,15981.64
4581968814-1,2023-01-28 00:00:00.000,9.0,434.16
4581968814-2,2023-01-26 00:00:00.000,1.0,455.0
4581974974-1,2023-02-21 00:00:00.000,19.0,15.2
4581974974-2,2023-02-11 00:00:00.000,5.0,66.15
4581974974-3,2023-02-22 00:00:00.000,25.0,145.75
4581974974-4,2023-02-11 00:00:00.000,15.0,87.3
4581974974-5,2023-02-21 00:00:00.000,22.0,40.48
4581974974-6,2023-02-11 00:00:00.000,17.0,116.96
4581976236-1,2023-04-24 00:00:00.000,4.0,2.76
4581976236-2,2023-02-21 00:00:00.000,7.0,40.81
4581976236-3,2023-04-24 00:00:00.000,8.0,14.72
4581976236-4,2023-02-11 00:00:00.000,50.0,50.0
4581976236-5,2023-05-03 00:00:00.000,20.0,42.2
4581978041-1,2023-07-13 00:00:00.000,1.0,8150.94
4581978369-1,2023-03-04 00:00:00.000,5.0,5.45
4581981332-1,2024-01-12 00:00:00.000,6.0,1291.86
4581982582-1,2023-02-22 00:00:00.000,3.0,17.46
4581982582-2,2023-02-22 00:00:00.000,15.0,16.35
4581982582-2,2023-03-04 00:00:00.000,5.0,5.45
4581983441-1,2023-03-08 00:00:00.000,1.0,779.6
4581983442-1,2024-03-05 00:00:00.000,1.0,62.08
4581983442-1,2024-05-14 00:00:00.000,4.0,248.32
4581983443-1,2023-02-21 00:00:00.000,10.0,1163.8
4581983443-10,2023-02-21 00:00:00.000,50.0,10.0
4581983443-11,2023-03-28 00:00:00.000,10.0,21.1
4581983443-12,2023-02-21 00:00:00.000,10.0,29.2
4581983443-13,2023-06-12 00:00:00.000,500.0,100.0
4581983443-14,2023-02-21 00:00:00.000,10.0,753.3
4581983443-15,2023-02-21 00:00:00.000,10.0,2981.4
4581983443-16,2023-02-21 00:00:00.000,10.0,4.6
4581983443-2,2023-07-10 00:00:00.000,10.0,104.3
4581983443-3,2023-03-28 00:00:00.000,10.0,246.1
4581983443-4,2023-03-28 00:00:00.000,10.0,16.7
4581983443-5,2023-02-21 00:00:00.000,10.0,223.3
4581983443-6,2023-02-21 00:00:00.000,10.0,2.4
4581983443-7,2023-02-21 00:00:00.000,10.0,1068.5
4581983443-8,2023-03-28 00:00:00.000,50.0,74.0
4581983443-9,2023-02-21 00:00:00.000,2.0,1155.44
4581983444-1,2023-02-21 00:00:00.000,5.0,834.75
4581983444-10,2023-02-21 00:00:00.000,2.0,152.5
4581983444-11,2023-02-21 00:00:00.000,1.0,105.22
